Restaurant,Ranking,City,Lat,Long
East Side Pockets,1,"San Francisco, CA",41.829554,-71.400978
Frasca Food and Wine,1,"Denver, CO",39.7391667,-104.9841667
Acorn,2,"Denver, CO",39.7686109,-104.9797577
Cholon,3,"Denver, CO",39.7505568,-104.9996268
Sushi Den,4,"Denver, CO",39.689585,-104.980781
Mizuna,5,"Denver, CO",39.7686109,-104.9797577
Fruition Restaurant,6,"Denver, CO",39.7686109,-104.9797577
The Plimoth,7,"Denver, CO",39.7686109,-104.9797577
Basta,8,"Denver, CO",39.7391667,-104.9841667
Colt & Gray,9,"Denver, CO",39.7391667,-104.9841667
Bittersweet,10,"Denver, CO",39.7391667,-104.9841667
Oak at Fourteenth,11,"Denver, CO",39.7391667,-104.9841667
Luca,12,"Denver, CO",39.7391667,-104.9841667
Bistro Barbès,13,"Denver, CO",39.7391667,-104.9841667
The Populist,14,"Denver, CO",39.7391667,-104.9841667
To the Wind Bistro,15,"Denver, CO",39.7391667,-104.9841667
Rioja,16,"Denver, CO",39.7391667,-104.9841667
Lower48 Kitchen,17,"Denver, CO",39.7391667,-104.9841667
Stoic & Genuine,18,"Denver, CO",39.7391667,-104.9841667
Barolo Grill,19,"Denver, CO",39.7391667,-104.9841667
Work & Class,20,"Denver, CO",39.7391667,-104.9841667
Old Major,21,"Denver, CO",39.7391667,-104.9841667
Beast + Bottle,22,"Denver, CO",39.7391667,-104.9841667
Potager,23,"Denver, CO",39.7391667,-104.9841667
Duo Restaurant,24,"Denver, CO",39.7391667,-104.9841667
Tables,25,"Denver, CO",39.7391667,-104.9841667
Kokkari Estiatorio,1,"San Francisco, CA",37.775,-122.4183333
Gary Danko,2,"San Francisco, CA",37.775,-122.4183333
Quince,3,"San Francisco, CA",37.775,-122.4183333
Acquerello,4,"San Francisco, CA",37.775,-122.4183333
Boulevard,5,"San Francisco, CA",37.775,-122.4183333
La Folie,6,"San Francisco, CA",37.775,-122.4183333
Frances,7,"San Francisco, CA",37.775,-122.4183333
Benu,8,"San Francisco, CA",37.775,-122.4183333
Delfina Restaurant,9,"San Francisco, CA",37.775,-122.4183333
Swan Oyster Depot,10,"San Francisco, CA",37.775,-122.4183333
House of Prime Rib,11,"San Francisco, CA",37.775,-122.4183333
La Ciccia,12,"San Francisco, CA",37.775,-122.4183333
Cotogna,13,"San Francisco, CA",37.775,-122.4183333
Harris'  The San Francisco Steakhouse,14,"San Francisco, CA",37.775,-122.4183333
Nopa,15,"San Francisco, CA",37.775,-122.4183333
Tartine Bakery and Cafe,16,"San Francisco, CA",37.775,-122.4183333
Ruth's Chris Steak House,17,"San Francisco, CA",37.775,-122.4183333
Roka Akor,18,"San Francisco, CA",37.775,-122.4183333
B. Patisserie,19,"San Francisco, CA",37.775,-122.4183333
Range,20,"San Francisco, CA",37.775,-122.4183333
Aziza,21,"San Francisco, CA",37.775,-122.4183333
Greens Restaurant,22,"San Francisco, CA",37.775,-122.4183333
Gialina,23,"San Francisco, CA",37.775,-122.4183333
Atelier Crenn,24,"San Francisco, CA",37.775,-122.4183333
Zuni Cafe,25,"San Francisco, CA",37.775,-122.4183333
State Bird Provisions,26,"San Francisco, CA",37.775,-122.4183333
4505 Burgers and BBQ,27,"San Francisco, CA",37.775,-122.4183333
The House,28,"San Francisco, CA",37.775,-122.4183333
Sotto Mare,29,"San Francisco, CA",37.775,-122.4183333
